,0,1
39,0.0008476002230478483,http://blog.coop-kobe.net/ouen/
63,0.0008215491523760248,http://www.kobe.coop.or.jp/media/
288,0.0008054790299681761,http://www.kobe.coop.or.jp/news/index.php?year=2016
289,0.0008054790299681761,http://www.kobe.coop.or.jp/news/index.php?year=2015
290,0.0008054790299681761,http://www.kobe.coop.or.jp/news/index.php?year=2014
291,0.0008054790299681761,http://www.kobe.coop.or.jp/news/index.php?year=2013
1197,0.0007951584030348922,http://www.kobe.coop.or.jp/kouza/detail/091046.php
1195,0.0007951584030348922,http://www.kobe.coop.or.jp/kouza/detail/091049.php
77,0.0007951326913526852,http://www.kobe.coop.or.jp/news/index.php
641,0.000786728915219174,http://www.kobe.coop.or.jp/kouza/contact/kobekita.php
1196,0.0007744961189378053,http://www.kobe.coop.or.jp/kouza/detail/091048.php
553,0.0007705939838614057,http://www.kobe.coop.or.jp/kouza/contact/centre.php
2372,0.000765086558666585,javascript:history.back()
800,0.0007644818817788531,http://www.kobe.coop.or.jp/kouza/search/result.php?t=105&a=200
798,0.0007595975086971757,http://www.kobe.coop.or.jp/kouza/search/result.php?t=101&a=200
801,0.0007585771406637937,http://www.kobe.coop.or.jp/kouza/search/result.php?f=5&a=200
799,0.0007574223490785743,http://www.kobe.coop.or.jp/kouza/search/result.php?t=102&a=200
1198,0.0007511027739274031,http://www.kobe.coop.or.jp/kouza/detail/090991.php
1028,0.0007164721436215301,http://www.kobe.coop.or.jp/kouza/contact/aioi.php
1199,0.0007081637066006911,http://www.kobe.coop.or.jp/kouza/detail/090979.php
1200,0.0006906566625790568,http://www.kobe.coop.or.jp/kouza/detail/090978.php
890,0.0006402470457198069,http://www.kobe.coop.or.jp/kouza/search/result.php?t=105&a=202
888,0.0006364195667876747,http://www.kobe.coop.or.jp/kouza/search/result.php?t=101&a=202
891,0.000634244407169073,http://www.kobe.coop.or.jp/kouza/search/result.php?f=5&a=202
889,0.000634244407169073,http://www.kobe.coop.or.jp/kouza/search/result.php?t=102&a=202
762,0.0006275278664464343,http://www.kobe.coop.or.jp/kouza/contact/takaraduka.php
845,0.0006197182466494896,http://www.kobe.coop.or.jp/kouza/contact/nishinomiya.php
1025,0.0005860297784376388,http://www.kobe.coop.or.jp/kouza/search/result.php?t=105&a=210
1024,0.0005827784872614718,http://www.kobe.coop.or.jp/kouza/search/result.php?t=102&a=210
1023,0.0005825548409940074,http://www.kobe.coop.or.jp/kouza/search/result.php?t=101&a=210
1026,0.0005805409391067162,http://www.kobe.coop.or.jp/kouza/search/result.php?f=5&a=210
796,0.0005771875258826066,http://www.kobe.coop.or.jp/kouza/takaraduka/index.php?c=307
795,0.0005771875258826066,http://www.kobe.coop.or.jp/kouza/takaraduka/index.php?c=305
797,0.0005771875258826066,http://www.kobe.coop.or.jp/kouza/takaraduka/index.php?c=311
790,0.0005771875258826066,http://www.kobe.coop.or.jp/kouza/takaraduka/index.php?c=308
794,0.0005771875258826066,http://www.kobe.coop.or.jp/kouza/takaraduka/index.php?c=306
793,0.0005771875258826066,http://www.kobe.coop.or.jp/kouza/takaraduka/index.php?c=304
791,0.0005771875258826066,http://www.kobe.coop.or.jp/kouza/takaraduka/index.php?c=302
792,0.0005771875258826066,http://www.kobe.coop.or.jp/kouza/takaraduka/index.php?c=303
789,0.0005771875258826066,http://www.kobe.coop.or.jp/kouza/takaraduka/index.php?c=301
787,0.0005771875258826066,http://www.kobe.coop.or.jp/kouza/takaraduka/index.php?c=300
788,0.0005771875258826066,http://www.kobe.coop.or.jp/kouza/takaraduka/index.php?c=309
897,0.0005763903501681322,http://www.kobe.coop.or.jp/kouza/contact/kg.php
595,0.0005600926866853315,http://www.kobe.coop.or.jp/kouza/centre/index.php?t=104
592,0.0005600926866853315,http://www.kobe.coop.or.jp/kouza/centre/index.php?c=305
593,0.0005600926866853315,http://www.kobe.coop.or.jp/kouza/centre/index.php?c=307
594,0.0005600926866853315,http://www.kobe.coop.or.jp/kouza/centre/index.php?c=311
585,0.0005600926866853314,http://www.kobe.coop.or.jp/kouza/centre/index.php?c=309
586,0.0005600926866853314,http://www.kobe.coop.or.jp/kouza/centre/index.php?c=301
587,0.0005600926866853314,http://www.kobe.coop.or.jp/kouza/centre/index.php?c=308
584,0.0005600926866853314,http://www.kobe.coop.or.jp/kouza/centre/index.php?c=300
591,0.0005600926866853314,http://www.kobe.coop.or.jp/kouza/centre/index.php?c=306
590,0.0005600926866853314,http://www.kobe.coop.or.jp/kouza/centre/index.php?c=304
589,0.0005600926866853314,http://www.kobe.coop.or.jp/kouza/centre/index.php?c=303
588,0.0005600926866853314,http://www.kobe.coop.or.jp/kouza/centre/index.php?c=302
803,0.0005404841872119056,http://www.kobe.coop.or.jp/kouza/contact/tsukaguchi.php
88,0.0005293936693873334,http://www.kobe.coop.or.jp/sports/
683,0.000520991833945418,http://www.kobe.coop.or.jp/kouza/contact/kobenishi.php
947,0.000517292000283061,http://www.kobe.coop.or.jp/kouza/contact/okubo.php
1155,0.0005158915254158909,http://www.kobe.coop.or.jp/kouza/contact/osakakita.php
723,0.0005106811916203919,http://www.kobe.coop.or.jp/kouza/contact/seishin.php
110,0.0004993141518667629,http://www.kobe.coop.or.jp/saiyou/fresh/index.html
842,0.0004962933844543878,http://www.kobe.coop.or.jp/kouza/search/result.php?t=105&a=201
840,0.0004945943806189039,http://www.kobe.coop.or.jp/kouza/search/result.php?t=101&a=201
841,0.000494234335018849,http://www.kobe.coop.or.jp/kouza/search/result.php?t=102&a=201
843,0.000492762378262167,http://www.kobe.coop.or.jp/kouza/search/result.php?f=5&a=201
1117,0.000488242008884574,http://www.kobe.coop.or.jp/kouza/contact/toyooka.php
497,0.00048772129383269937,http://www.kobe.coop.or.jp/fukushi/nursing/doc/coop_heartland2014.pdf
944,0.00048189535801362486,http://www.kobe.coop.or.jp/kouza/search/result.php?t=105&a=209
942,0.00047955017498730175,http://www.kobe.coop.or.jp/kouza/search/result.php?t=101&a=209
680,0.00047910660067233704,http://www.kobe.coop.or.jp/kouza/search/result.php?t=105&a=205
678,0.0004775518866521938,http://www.kobe.coop.or.jp/kouza/search/result.php?t=101&a=205
943,0.0004773750153687002,http://www.kobe.coop.or.jp/kouza/search/result.php?t=102&a=209
945,0.000477242701139554,http://www.kobe.coop.or.jp/kouza/search/result.php?f=5&a=209
679,0.00047712421665142314,http://www.kobe.coop.or.jp/kouza/search/result.php?t=102&a=205
457,0.00047610814116141723,http://bell.coop-kobe.net/
681,0.0004753733951479975,http://www.kobe.coop.or.jp/kouza/search/result.php?f=5&a=205
454,0.00047453405652636267,http://www.kobe.coop.or.jp/sports/Erea/erea7/Erea_7_1.html
451,0.00047453405652636267,http://www.kobe.coop.or.jp/sports/Erea/erea4/Erea_4_1.html
452,0.00047453405652636267,http://www.kobe.coop.or.jp/sports/Erea/erea5/Erea_5_1.html
453,0.00047453405652636267,http://www.kobe.coop.or.jp/sports/Erea/erea6/Erea_6_1.html
434,0.00047453405652636267,http://www.kobe.coop.or.jp/sports/Sports/sports59/sports_59_5.html
455,0.00047453405652636267,http://www.kobe.coop.or.jp/sports/Erea/erea8/Erea_8_1.html
449,0.00047453405652636267,http://www.kobe.coop.or.jp/sports/Erea/erea2/Erea_2_1.html
399,0.00047453405652636267,http://www.kobe.coop.or.jp/sports/rule.html
402,0.00047453405652636267,http://www.kobe.coop.or.jp/sports/contact.html
450,0.00047453405652636267,http://www.kobe.coop.or.jp/sports/Erea/erea3/Erea_3_1.html
448,0.00047453405652636267,http://www.kobe.coop.or.jp/sports/Erea/erea1/Erea_1_1.html
435,0.00047453405652636267,http://www.kobe.coop.or.jp/sports/Sports/sports60/sports_60_1.html
447,0.00047453405652636267,http://www.kobe.coop.or.jp/sports/Sports/sports57/sports_57_2.html
446,0.00047453405652636267,http://www.kobe.coop.or.jp/sports/Sports/sports56/sports_56_2.html
445,0.00047453405652636267,http://www.kobe.coop.or.jp/sports/Sports/sports55/sports_55_4.html
444,0.00047453405652636267,http://www.kobe.coop.or.jp/sports/Sports/sports54/sports_54_4.html
443,0.00047453405652636267,http://www.kobe.coop.or.jp/sports/Sports/sports53/sports_53_1.html
442,0.00047453405652636267,http://www.kobe.coop.or.jp/sports/Sports/sports35/sports_35_1.html
441,0.00047453405652636267,http://www.kobe.coop.or.jp/sports/Sports/sports32/sports_32_1.html
440,0.00047453405652636267,http://www.kobe.coop.or.jp/sports/Sports/sports29/sports_29_3.html
439,0.00047453405652636267,http://www.kobe.coop.or.jp/sports/Sports/sports28/sports_28_1.html
